alg,time,number,length,source,dest
onepass_plus,1.661259412765503,0,618.896,Corso Susa Rivoli,Via Piol Rivoli
esx,1.713432788848877,0,618.896,Corso Susa Rivoli,Via Piol Rivoli
penalty,1.761023759841919,0,618.896,Corso Susa Rivoli,Via Piol Rivoli
onepass_plus,0.6916389465332031,0,906.28,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
esx,1.008267879486084,0,906.28,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
penalty,1.2416317462921143,0,906.28,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
onepass_plus,1.4487884044647217,1,906.28,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
esx,1.5830225944519043,1,1303.875,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
penalty,1.7866425514221191,1,906.28,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
onepass_plus,2.007411003112793,2,1303.875,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
esx,2.339827537536621,2,1657.452,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
penalty,2.3976664543151855,2,2198.997,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
onepass_plus,2.442530393600464,3,1657.452,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
esx,2.5104916095733643,3,2358.135,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
onepass_plus,2.57460618019104,4,2358.135,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
onepass_plus,2.6352527141571045,5,2781.686,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
onepass_plus,2.688225507736206,6,3505.815,Via Ivrea Chivasso,Corso Galileo Ferraris Chivasso
esx,0.5670115947723389,0,1560.177,Via Trento Alessandria,Corso Roma Alessandria
onepass_plus,0.6000785827636719,0,1560.177,Via Trento Alessandria,Corso Roma Alessandria
penalty,0.6309254169464111,0,1560.177,Via Trento Alessandria,Corso Roma Alessandria
esx,0.662294864654541,1,2728.933,Via Trento Alessandria,Corso Roma Alessandria
onepass_plus,0.7102928161621094,1,2199.464,Via Trento Alessandria,Corso Roma Alessandria
penalty,0.7515053749084473,1,2869.15,Via Trento Alessandria,Corso Roma Alessandria
esx,0.7957010269165039,2,3469.799,Via Trento Alessandria,Corso Roma Alessandria
onepass_plus,0.8445465564727783,2,2426.183,Via Trento Alessandria,Corso Roma Alessandria
esx,0.891533613204956,3,3920.276,Via Trento Alessandria,Corso Roma Alessandria
onepass_plus,0.9312782287597656,3,2728.933,Via Trento Alessandria,Corso Roma Alessandria
esx,0.9723587036132812,4,4379.694,Via Trento Alessandria,Corso Roma Alessandria
onepass_plus,1.0215790271759033,4,2869.15,Via Trento Alessandria,Corso Roma Alessandria
onepass_plus,1.0583572387695312,5,3015.386,Via Trento Alessandria,Corso Roma Alessandria
esx,1.0906710624694824,5,19977.416,Via Trento Alessandria,Corso Roma Alessandria
esx,1.1329717636108398,6,28698.442,Via Trento Alessandria,Corso Roma Alessandria
onepass_plus,1.173609733581543,6,3417.238,Via Trento Alessandria,Corso Roma Alessandria
onepass_plus,0.6107010841369629,0,5569.134,Via Torino Pinerolo,Corso Torino Pinerolo
esx,0.7142999172210693,0,5569.134,Via Torino Pinerolo,Corso Torino Pinerolo
penalty,0.799022912979126,0,5569.134,Via Torino Pinerolo,Corso Torino Pinerolo
onepass_plus,0.87984299659729,1,5569.134,Via Torino Pinerolo,Corso Torino Pinerolo
esx,0.939354658126831,1,6650.506,Via Torino Pinerolo,Corso Torino Pinerolo
penalty,0.9955973625183105,1,5569.134,Via Torino Pinerolo,Corso Torino Pinerolo
onepass_plus,1.0736536979675293,2,6627.748,Via Torino Pinerolo,Corso Torino Pinerolo
esx,1.1181566715240479,2,13921.111,Via Torino Pinerolo,Corso Torino Pinerolo
penalty,1.1578001976013184,2,6879.0,Via Torino Pinerolo,Corso Torino Pinerolo
onepass_plus,1.2200720310211182,3,7339.186,Via Torino Pinerolo,Corso Torino Pinerolo
esx,1.2768433094024658,3,23470.711,Via Torino Pinerolo,Corso Torino Pinerolo
onepass_plus,1.430349349975586,4,7626.011,Via Torino Pinerolo,Corso Torino Pinerolo
esx,1.4703319072723389,4,63089.228,Via Torino Pinerolo,Corso Torino Pinerolo
onepass_plus,1.6687602996826172,5,8073.443,Via Torino Pinerolo,Corso Torino Pinerolo
esx,1.7176578044891357,5,98769.376,Via Torino Pinerolo,Corso Torino Pinerolo
onepass_plus,34.569061040878296,6,8693.214,Via Torino Pinerolo,Corso Torino Pinerolo
onepass_plus,0.7673590183258057,0,3902.41,Via Barolo Barolo,Via Alba La Morra
esx,0.8309874534606934,0,3902.41,Via Barolo Barolo,Via Alba La Morra
penalty,0.8626439571380615,0,3902.41,Via Barolo Barolo,Via Alba La Morra
onepass_plus,0.8201262950897217,0,13675.782,Via Vercelli Novara,Corso Risorgimento Novara
