alg,source,dest,number,time,length,length_at_number_0
esx,Corso Francia Torino,Lungomare Migliorini Finale Ligure,2,4.3554089069366455,202094.19,158110.604
esx,Corso Francia Torino,Lungomare Migliorini Finale Ligure,3,5.2042646408081055,226391.055,158110.604
esx,Corso Francia Torino,Lungomare Migliorini Finale Ligure,4,5.744808197021484,247655.186,158110.604
esx,Corso Francia Torino,Lungomare Migliorini Finale Ligure,5,6.486195802688599,274515.471,158110.604
esx,Corso Francia Torino,Lungomare Migliorini Finale Ligure,6,6.899912118911743,287853.72,158110.604
esx,Corso Francia Torino,Piazza De Ferrari Genova,0,4.0624098777771,177511.055,177511.055
esx,Corso Francia Torino,Piazza De Ferrari Genova,1,4.466006755828857,179246.102,177511.055
esx,Corso Francia Torino,Piazza De Ferrari Genova,2,5.126334428787232,213439.638,177511.055
esx,Corso Francia Torino,Piazza De Ferrari Genova,3,5.949747085571289,217605.316,177511.055
esx,Corso Francia Torino,Piazza De Ferrari Genova,4,6.42318058013916,217625.236,177511.055
esx,Corso Francia Torino,Piazza De Ferrari Genova,5,7.506965398788452,226688.812,177511.055
esx,Corso Francia Torino,Piazza De Ferrari Genova,6,9.091887712478638,322118.362,177511.055
esx,Corso Francia Torino,Via San Secondo Torino,0,3.1776554584503174,2906.749,2906.749
esx,Corso Francia Torino,Via San Secondo Torino,1,3.3102800846099854,2942.532,2906.749
esx,Corso Francia Torino,Via San Secondo Torino,2,3.44254469871521,2996.888,2906.749
esx,Corso Francia Torino,Via San Secondo Torino,3,3.6155929565429688,3336.336,2906.749
esx,Corso Francia Torino,Via San Secondo Torino,4,3.840541362762451,3896.691,2906.749
esx,Corso Francia Torino,Via San Secondo Torino,5,4.143868923187256,4257.673,2906.749
esx,Corso Francia Torino,Via San Secondo Torino,6,4.382145643234253,4447.519,2906.749
esx,Corso Galileo Ferraris Torino,Piazza della Meridiana Genova,0,3.8513903617858887,179354.366,179354.366
esx,Corso Galileo Ferraris Torino,Piazza della Meridiana Genova,1,4.4135284423828125,180969.521,179354.366
esx,Corso Galileo Ferraris Torino,Piazza della Meridiana Genova,2,5.243896007537842,204895.309,179354.366
esx,Corso Galileo Ferraris Torino,Piazza della Meridiana Genova,3,6.099977731704712,211690.255,179354.366
esx,Corso Galileo Ferraris Torino,Piazza della Meridiana Genova,4,6.852514028549194,258274.157,179354.366
